Year,Géographie,Niveau de gouvernement,Type de patrimoine,Value
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00011
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8e-05
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00015
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3e-05
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00012
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00012
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4e-05
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,7e-05
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00012
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6e-05
2018,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2018,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6e-05
2018,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.00019
2018,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0001
2018,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00049
2018,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00039
2018,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2018,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00031
2018,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00022
2018,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4e-05
2018,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00031
2018,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00016
2018,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00071
2018,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.00047
2019,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,6e-05
2019,Canada,Administration publique générale canadienne consolidée,Services culturels,0.00018
2019,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",0.0001
2019,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5e-05
