Year,Géographie,Industrie,GeoCode,Value
2015,Nouvelle-Écosse,Fabrication de sucre et de confiseries,12,
2015,Nouvelle-Écosse,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,12,
2015,Nouvelle-Écosse,Fabrication de produits laitiers,12,0.22
2015,Nouvelle-Écosse,Fabrication de produits de viande,12,
2015,Nouvelle-Écosse,Préparation et conditionnement de poissons et de fruits de mer,12,1.12
2015,Nouvelle-Écosse,Boulangeries et fabrication de tortillas,12,0.24
2015,Nouvelle-Écosse,Fabrication d'autres aliments,12,
2015,Nouvelle-Écosse,Fabrication de boissons et de produits du tabac,12,0.21
2015,Nouvelle-Écosse,Fabrication de boissons,12,
2015,Nouvelle-Écosse,Fabrication du tabac,12,
2015,Nouvelle-Écosse,Fabrication de produits du cannabis,12,
2015,Nouvelle-Écosse,Usines de textiles,12,
2015,Nouvelle-Écosse,"Usines de fibres, de filés et de fils",12,
2015,Nouvelle-Écosse,Usines de tissus,12,
2015,Nouvelle-Écosse,Finissage de textiles et de tissus et revêtement de tissus,12,
2015,Nouvelle-Écosse,Usines de produits textiles,12,0.1
2015,Nouvelle-Écosse,Usines de textiles domestiques,12,
2015,Nouvelle-Écosse,Usines d'autres produits textiles,12,
2015,Nouvelle-Écosse,Apparel manufacturing,12,0.12
2015,Nouvelle-Écosse,Apparel knitting mills,12,
2015,Nouvelle-Écosse,Fabrication de vêtements coupés-cousus,12,
2015,Nouvelle-Écosse,Fabrication d'accessoires vestimentaires et d'autres vêtements,12,
2015,Nouvelle-Écosse,Fabrication de produits en cuir et de produits analogues,12,
2015,Nouvelle-Écosse,Tannage et finissage du cuir et des peaux,12,
2015,Nouvelle-Écosse,Fabrication de chaussures,12,
2015,Nouvelle-Écosse,Fabrication d'autres produits en cuir et produits analogues,12,
2015,Nouvelle-Écosse,Fabrication du papier,12,0.26
2015,Nouvelle-Écosse,"Usines de pâte à papier, de papier et de carton",12,
2015,Nouvelle-Écosse,Fabrication de produits en papier transformé,12,
2015,Nouvelle-Écosse,Impression et activités connexes de soutien,12,0.17
2015,Nouvelle-Écosse,Fabrication de produits du pétrole et du charbon,12,
2015,Nouvelle-Écosse,Fabrication de produits chimiques,12,0.17
2015,Nouvelle-Écosse,Fabrication de produits chimiques de base,12,
2015,Nouvelle-Écosse,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",12,
2015,Nouvelle-Écosse,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",12,
2015,Nouvelle-Écosse,Fabrication de produits pharmaceutiques et de médicaments,12,
2015,Nouvelle-Écosse,"Fabrication de peintures, de revêtements et d'adhésifs",12,0.02
2015,Nouvelle-Écosse,"Fabrication de savons, de détachants et de produits de toilette",12,
2015,Nouvelle-Écosse,Fabrication d'autres produits chimiques,12,0.02
2015,Nouvelle-Écosse,Fabrication de produits en plastique et en caoutchouc,12,1.3
2015,Nouvelle-Écosse,Fabrication de produits en plastique,12,
2015,Nouvelle-Écosse,Fabrication de produits en caoutchouc,12,
2015,Nouvelle-Écosse,Biens durables,12,2.89
2015,Nouvelle-Écosse,Fabrication de produits en bois,12,0.46
2015,Nouvelle-Écosse,Scieries et préservation du bois,12,0.23
2015,Nouvelle-Écosse,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",12,0.09
2015,Nouvelle-Écosse,Fabrication d'autres produits en bois,12,0.14
