Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2016,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2906811.0
2016,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2614087.0
2016,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,929476.0
2016,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1684611.0
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2018,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10848238.0
2018,Canada,Sources de déchets résidentielles à des fins d'élimination,,14884782.0
2018,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,373668.0
2018,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,158588.0
2018,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,215080.0
2018,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,53972.0
2018,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,20540.0
2018,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,33432.0
2018,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,392328.0
2018,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,157078.0
2018,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,235250.0
2018,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,507848.0
2018,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,222110.0
2018,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,285738.0
2018,Québec,Toutes les sources de déchets à des fins d'élimination,24,5563136.0
